filename,cls,path,stem,width,height,aspect,mode,n_masks,intensity_mean,intensity_std,intensity_min,intensity_max,intensity_p05,intensity_p95,img_md5,phash,lesion_px,area_ratio,has_lesion,bbox_x_norm,bbox_y_norm,circularity,solidity,extent,bbox_aspect,eccentricity
benign (1).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (1).png,benign (1),562,471,1.1932059447983014,RGB,1,132.37514639103597,58.393188832411404,0,255,34.0,225.0,96e5a08ef7b9c9429afac7aa75dfe0a6,d4e80bc73485eea3,984,0.0037173878550218736,True,0.5569395017793595,0.31104033970276007,0.6718649131950258,0.9448134900357691,0.697209653092006,1.9615384615384615,0.8421470326761852
benign (10).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (10).png,benign (10),683,585,1.1675213675213676,RGB,1,103.24073281525698,58.32429325955035,0,255,2.0,202.0,c361932f412319342d95a68dd6229d50,fe8e1fe1e18e01c1,32918,0.08238665515385867,True,0.18740849194729137,0.28205128205128205,0.8300374264403079,0.9892598716645682,0.791938891992325,1.0609137055837563,0.48374780949659985
benign (100).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (100).png,benign (100),323,473,0.6828752642706131,RGB,2,90.10784859175672,67.72778108244343,0,255,20.0,211.0,c8ef9022b23dd1a8f1a3046b5b11ff41,b4dac7a561685a1e,10011,0.06552602124637548,True,0.5046439628482973,0.346723044397463,0.7973086247612855,0.9859444878256549,0.7162231848184818,1.0520833333333333,0.783548093750954
benign (101).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (101).png,benign (101),563,473,1.190274841437632,RGB,1,103.22568991997717,57.23015980029427,0,255,15.0,197.0,6199b14831c04cebd43b7f568227c7d4,acd21a6df0da8ca5,4167,0.015647824437943814,True,0.8650088809946714,0.4164904862579281,0.7580392388280991,0.983843537414966,0.8020400079223609,1.9411764705882353,0.8510861383096991
benign (102).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (102).png,benign (102),634,610,1.039344262295082,RGB,1,54.390259605936805,37.92308117239072,0,239,7.0,130.0,10c710780094c714b4c423385e21c13b,a5e5d6929a4999d8,18857,0.048758856079019496,True,0.5623028391167192,0.1885245901639344,0.8308013436919179,0.9884810361759163,0.8009247311827957,1.488,0.7215870127911789
benign (103).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (103).png,benign (103),766,585,1.3094017094017094,RGB,1,89.7612327330343,55.68211531122989,0,255,5.0,181.0,9aaf91245c6a331d4c36e599716ea784,c29ee0c419b9e8de,49587,0.11065809734217046,True,0.25783289817232374,0.4282051282051282,0.7558880996840378,0.9893397696987982,0.7650164862510888,1.8191489361702127,0.8369852015128082
benign (104).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (104).png,benign (104),777,578,1.3442906574394464,RGB,1,98.20225737353765,55.69894125405646,0,255,18.0,194.0,78304e8686772ead15b5dd77e424ddd3,86cb7130687c74dd,3930,0.008750718093278646,True,0.8326898326898327,0.14965397923875431,0.7759564434615385,0.9790918419702411,0.7941115272575947,1.6481481481481481,0.8322294076910762
benign (105).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (105).png,benign (105),882,581,1.5180722891566265,RGB,1,99.87637430187222,56.785385870408035,0,255,14.0,193.0,580c891c3dcdca098979f1cf881fb230,d4e63b992976c6a0,8813,0.017198043876185013,True,0.5487528344671202,0.3433734939759036,0.8062559118242691,0.9834053193907706,0.7452196382428941,1.4333333333333333,0.7350695352709133
benign (106).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (106).png,benign (106),808,716,1.1284916201117319,RGB,1,73.78538117429062,47.53487336472473,0,255,15.0,163.0,bd7ef0a0e2e6473adb2e7f219149b577,acb9734606577839,11670,0.020171884506886444,True,0.36014851485148514,0.32053072625698326,0.8467879917619451,0.982676761195945,0.7829198473282443,1.1696428571428572,0.5527205947350021
benign (107).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (107).png,benign (107),759,616,1.2321428571428572,RGB,1,78.30576587444176,63.36029823248396,0,255,1.0,188.0,d4670e8ad0e490925396af4818a07ef9,85816b3be6e6d898,9871,0.021112451448419826,True,0.5764163372859025,0.4537337662337662,0.7951858614174054,0.9841140943003603,0.7768429487179487,1.3541666666666667,0.6795479109233028
benign (108).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (108).png,benign (108),769,582,1.3213058419243986,RGB,1,101.42567443772651,41.048223107486635,0,255,30.0,165.0,dc08583bb3311d9ac38724d0fcd5a134,80a00ccc339effdd,13857,0.030961350260748328,True,0.834850455136541,0.2620274914089347,0.6446593746144322,0.9615113243491145,0.6537852619458837,1.787037037037037,0.9253882611153712
benign (109).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (109).png,benign (109),562,470,1.195744680851064,RGB,1,75.17331339441205,59.70483653303939,0,255,4.0,183.0,e1dce99d6d14432ba4a0ef4b86d70d6f,a1bcc5c3783c079b,28435,0.10765124555160142,True,0.2900355871886121,0.3595744680851064,0.8121956600552136,0.9849680636976114,0.7717811600164541,1.3393939393939394,0.725442133395686
benign (11).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (11).png,benign (11),689,587,1.1737649063032367,RGB,1,133.2340181434714,41.62867426699299,0,255,70.0,208.0,b4f7afd6b737975f89ed16ee99aeef3f,c1a71cd82dbbc346,1951,0.004823918327180839,True,0.5841799709724238,0.2563884156729131,0.6686189825031456,0.9530252744447281,0.6822002923976608,1.894736842105263,0.834854049095205
benign (110).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (110).png,benign (110),555,468,1.185897435897436,RGB,1,53.54469084469085,47.46473218802777,0,255,10.0,154.0,9a0522e2779f1f2d4796f2c2f3e25c3e,cbeb349d8781a1b2,37724,0.14523754523754523,True,0.42252252252252254,0.21794871794871795,0.7250239591298148,0.9914276994121471,0.8372893132508518,2.1818181818181817,0.8657668116424321
benign (111).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (111).png,benign (111),315,477,0.660377358490566,RGB,1,101.60301487471298,73.09177970778678,2,255,23.0,224.0,c3c9c4afed342db784faee2702296994,bae8cc1212e0ecfd,2367,0.015753219526804432,True,0.6301587301587301,0.350104821802935,0.8090562419508486,0.9766645257974738,0.7920138888888889,1.4222222222222223,0.7045142862064476
benign (112).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (112).png,benign (112),652,612,1.065359477124183,RGB,1,53.88311229399736,37.934749153949745,0,240,1.0,125.0,557a92b3c1687803afc47ddd5cb609cf,c3ccb4263383a6fc,4986,0.01249548899314327,True,0.3366564417177914,0.23039215686274508,0.7774320997870332,0.9722972297229723,0.7478461538461538,1.5384615384615385,0.7521832528043839
benign (113).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (113).png,benign (113),810,695,1.1654676258992807,RGB,1,78.77738342659205,46.29727944218467,2,255,18.0,168.0,6bfb2e6d94743bc7396039feeda3eb0b,90ac76537b626565,21535,0.038253841371347366,True,0.6185185185185185,0.3122302158273381,0.6877253604156937,0.9708179202630497,0.7229874502601775,2.0082644628099175,0.8625461251856774
benign (114).png,benign,datasets/Breast-Cancer-Ultrasound-Images-Dataset/Dataset_BUSI_with_GT\benign\benign (114).png,benign (114),757,575,1.3165217391304347,RGB,1,100.5756131181437,40.31877139669207,0,255,32.0,163.0,ac0fec8581dea2818d858a48b887273d,80a22ecc219afbfd,21951,0.05043018781230257,True,0.4081902245706737,0.28608695652173916,0.7090169969312272,0.9561660750115759,0.6719921899212794,1.5136986301369864,0.8479867758388261
